iter	Passed	Remaining
0	77	38674
1	97	24370
2	117	19401
3	139	17282
4	159	15803
5	180	14881
6	201	14170
7	220	13544
8	239	13085
9	256	12587
10	273	12144
11	289	11789
12	312	11694
13	330	11470
14	349	11309
15	367	11129
16	387	10997
17	405	10870
18	425	10762
19	446	10721
20	465	10618
21	483	10513
22	502	10423
23	523	10378
24	539	10242
25	555	10128
26	572	10033
27	591	9975
28	611	9930
29	629	9857
30	647	9791
31	665	9739
32	685	9703
33	703	9646
34	720	9572
35	737	9499
36	756	9468
37	775	9430
38	796	9413
39	813	9353
40	832	9316
41	852	9294
42	869	9241
43	884	9169
44	903	9130
45	920	9083
46	939	9059
47	956	9003
48	972	8950
49	989	8905
50	1009	8887
51	1027	8853
52	1043	8802
53	1059	8753
54	1077	8717
55	1096	8689
56	1113	8656
57	1133	8637
58	1150	8602
59	1169	8573
60	1185	8533
61	1205	8513
62	1223	8488
63	1243	8473
64	1262	8451
65	1282	8430
66	1300	8405
67	1318	8373
68	1337	8352
69	1351	8301
70	1367	8261
71	1385	8233
72	1400	8193
73	1416	8155
74	1430	8106
75	1446	8067
76	1464	8045
77	1481	8014
78	1499	7992
79	1528	8026
80	1545	7996
81	1562	7966
82	1587	7974
83	1602	7934
84	1622	7920
85	1638	7890
86	1659	7876
87	1681	7874
88	1705	7876
89	1723	7849
90	1739	7818
91	1756	7790
92	1776	7776
93	1796	7759
94	1813	7732
95	1831	7707
96	1850	7687
97	1869	7669
98	1883	7630
99	1899	7598
100	1915	7567
101	1940	7570
102	1957	7544
103	1980	7541
104	1998	7519
105	2014	7489
106	2035	7474
107	2051	7447
108	2068	7420
109	2084	7390
110	2101	7364
111	2119	7341
112	2136	7317
113	2153	7292
114	2169	7264
115	2184	7231
116	2200	7204
117	2218	7181
118	2239	7170
119	2259	7153
120	2288	7168
121	2315	7172
122	2345	7189
123	2386	7237
124	2434	7302
125	2457	7295
126	2478	7279
127	2519	7322
128	2540	7305
129	2557	7278
130	2574	7251
131	2589	7218
132	2605	7188
133	2619	7156
134	2635	7124
135	2648	7089
136	2663	7056
137	2676	7021
138	2694	6998
139	2710	6969
140	2723	6934
141	2740	6908
142	2755	6879
143	2774	6858
144	2790	6832
145	2805	6803
146	2823	6779
147	2836	6745
148	2852	6718
149	2867	6690
150	2884	6665
151	2901	6643
152	2918	6618
153	2936	6597
154	2952	6572
155	2972	6554
156	2990	6534
157	3006	6507
158	3022	6481
159	3041	6463
160	3056	6435
161	3072	6410
162	3090	6390
163	3106	6364
164	3123	6340
165	3139	6317
166	3158	6297
167	3175	6275
168	3192	6251
169	3212	6235
170	3230	6216
171	3247	6193
172	3264	6170
173	3281	6148
174	3296	6121
175	3311	6095
176	3327	6072
177	3346	6054
178	3362	6030
179	3381	6010
180	3398	5990
181	3417	5971
182	3432	5945
183	3449	5923
184	3464	5899
185	3479	5873
186	3494	5848
187	3511	5827
188	3530	5808
189	3543	5781
190	3559	5758
191	3574	5734
192	3592	5713
193	3611	5695
194	3627	5673
195	3641	5648
196	3662	5632
197	3677	5608
198	3693	5586
199	3709	5563
200	3724	5540
201	3740	5517
202	3755	5494
203	3772	5474
204	3789	5452
205	3805	5431
206	3822	5409
207	3839	5389
208	3858	5372
209	3874	5351
210	3890	5328
211	3912	5314
212	3927	5291
213	3945	5272
214	3960	5250
215	3974	5226
216	3991	5205
217	4006	5182
218	4025	5164
219	4041	5143
220	4060	5125
221	4075	5103
222	4092	5083
223	4107	5060
224	4123	5040
225	4138	5017
226	4156	4998
227	4175	4980
228	4189	4958
229	4205	4937
230	4221	4915
231	4235	4892
232	4250	4870
233	4263	4846
234	4282	4828
235	4296	4806
236	4310	4783
237	4325	4761
238	4342	4742
239	4358	4721
240	4374	4701
241	4389	4679
242	4403	4656
243	4420	4637
244	4438	4620
245	4454	4599
246	4471	4579
247	4486	4559
248	4501	4537
249	4520	4520
250	4535	4499
251	4551	4479
252	4570	4462
253	4586	4441
254	4599	4419
255	4614	4398
256	4630	4378
257	4644	4356
258	4657	4334
259	4673	4313
260	4687	4292
261	4705	4274
262	4718	4252
263	4736	4233
264	4753	4215
265	4769	4196
266	4784	4175
267	4799	4155
268	4816	4135
269	4834	4118
270	4850	4099
271	4872	4084
272	4890	4066
273	4907	4047
274	4923	4028
275	4939	4008
276	4959	3992
277	4974	3972
278	4991	3953
279	5008	3935
280	5023	3915
281	5040	3896
282	5056	3877
283	5075	3860
284	5091	3840
285	5111	3824
286	5135	3811
287	5150	3791
288	5166	3772
289	5182	3752
290	5200	3735
291	5218	3716
292	5234	3698
293	5249	3678
294	5265	3659
295	5281	3639
296	5295	3619
297	5309	3599
298	5326	3580
299	5341	3560
300	5355	3541
301	5372	3522
302	5389	3503
303	5408	3487
304	5427	3469
305	5444	3451
306	5457	3431
307	5472	3411
308	5485	3390
309	5502	3372
310	5517	3353
311	5534	3334
312	5550	3316
313	5570	3299
314	5584	3279
315	5601	3261
316	5617	3243
317	5633	3224
318	5649	3205
319	5666	3187
320	5681	3168
321	5698	3150
322	5724	3137
323	5749	3122
324	5767	3105
325	5788	3089
326	5804	3070
327	5821	3052
328	5837	3034
329	5853	3015
330	5870	2997
331	5894	2982
332	5914	2966
333	5935	2949
334	5952	2931
335	5972	2914
336	5991	2897
337	6006	2878
338	6023	2860
339	6039	2842
340	6057	2824
341	6074	2806
342	6092	2788
343	6108	2770
344	6127	2753
345	6143	2734
346	6163	2717
347	6185	2701
348	6204	2684
349	6224	2667
350	6245	2651
351	6264	2634
352	6283	2616
353	6300	2598
354	6316	2579
355	6332	2561
356	6349	2543
357	6366	2525
358	6380	2506
359	6398	2488
360	6414	2469
361	6431	2451
362	6447	2433
363	6465	2415
364	6481	2397
365	6501	2380
366	6518	2362
367	6534	2344
368	6550	2325
369	6569	2308
370	6594	2292
371	6613	2275
372	6652	2265
373	6681	2251
374	6710	2236
375	6745	2224
376	6784	2213
377	6813	2198
378	6844	2185
379	6871	2169
380	6895	2153
381	6925	2139
382	6949	2123
383	6972	2106
384	6991	2088
385	7007	2069
386	7024	2051
387	7041	2032
388	7060	2014
389	7085	1998
390	7106	1981
391	7136	1966
392	7160	1949
393	7183	1932
394	7205	1915
395	7236	1900
396	7277	1888
397	7325	1877
398	7348	1860
399	7382	1845
400	7422	1832
401	7471	1821
402	7520	1810
403	7616	1809
404	7644	1793
405	7667	1775
406	7692	1757
407	7716	1740
408	7738	1721
409	7759	1703
410	7776	1683
411	7792	1664
412	7812	1645
413	7828	1626
414	7845	1606
415	7862	1587
416	7879	1568
417	7894	1548
418	7912	1529
419	7932	1510
420	7948	1491
421	7964	1472
422	7981	1452
423	7995	1433
424	8014	1414
425	8029	1394
426	8047	1375
427	8062	1356
428	8078	1336
429	8095	1317
430	8111	1298
431	8126	1279
432	8142	1259
433	8158	1240
434	8174	1221
435	8192	1202
436	8208	1183
437	8225	1164
438	8244	1145
439	8261	1126
440	8277	1107
441	8294	1088
442	8309	1069
443	8324	1049
444	8341	1030
445	8361	1012
446	8381	993
447	8399	974
448	8415	955
449	8433	937
450	8453	918
451	8472	899
452	8497	881
453	8515	862
454	8539	844
455	8566	826
456	8588	808
457	8614	790
458	8634	771
459	8657	752
460	8679	734
461	8697	715
462	8717	696
463	8745	678
464	8762	659
465	8780	640
466	8798	621
467	8828	603
468	8856	585
469	8888	567
470	8912	548
471	8940	530
472	8981	512
473	9008	494
474	9040	475
475	9076	457
476	9124	439
477	9169	422
