iter	MultiClass
0	1.023678702
1	0.9590304885
2	0.9016603382
3	0.8516000392
4	0.8061708176
5	0.7655029839
6	0.7288896555
7	0.6959414062
8	0.6655483381
9	0.6379466288
10	0.6122713688
11	0.5888176938
12	0.5673935263
13	0.5477936446
14	0.5289410018
15	0.5117139521
16	0.495562731
17	0.4803630365
18	0.4664282513
19	0.4533179451
20	0.4407525419
21	0.4293411249
22	0.418538937
23	0.4084561261
24	0.3993079746
25	0.3905109015
26	0.3821613417
27	0.3744462891
28	0.3669746456
29	0.3603129787
30	0.3534789324
31	0.3474052617
32	0.3415601575
33	0.336194835
34	0.3309643358
35	0.3261195964
36	0.3211226008
37	0.3167344772
38	0.3123834384
39	0.3083335216
40	0.3045406988
41	0.3007829512
42	0.2973104517
43	0.2942031036
44	0.2915962829
45	0.2889644466
46	0.2861197345
47	0.2837333189
48	0.2813484798
49	0.2790412113
50	0.2765509565
51	0.2744905029
52	0.2726709199
53	0.2708289625
54	0.2693411325
55	0.2676104732
56	0.2658906819
57	0.2640896978
58	0.2623383656
59	0.2609596523
60	0.2595642599
61	0.2581655641
62	0.2568107649
63	0.2556335274
64	0.2542753834
65	0.253144445
66	0.2520202413
67	0.2509030627
68	0.2499771707
69	0.2494547909
70	0.2486686072
71	0.2479765459
72	0.2472940425
73	0.2468824729
74	0.2463897685
75	0.2456573213
76	0.244790874
77	0.2440701261
78	0.2434166644
79	0.2425841514
80	0.2418572295
81	0.2413504416
82	0.2407247865
83	0.2402743822
84	0.2398090518
85	0.2396088929
86	0.2390406406
87	0.2384491064
88	0.237945798
89	0.237570339
90	0.237064997
91	0.2366343945
92	0.2361025076
93	0.2357352309
94	0.2352976054
95	0.2348498578
96	0.2344594634
97	0.2340801583
98	0.2338919044
99	0.2336094795
100	0.2334387809
101	0.2328946922
102	0.2324938689
103	0.2320096625
104	0.2317046264
105	0.2314522143
106	0.2311096334
107	0.2308172343
108	0.230526717
109	0.2303613862
110	0.2300929897
111	0.2297822203
112	0.2295477519
113	0.2291821026
114	0.2289743843
115	0.2287226429
116	0.2285310054
117	0.2283259507
118	0.2281051221
119	0.2278726923
120	0.2276853548
121	0.2275823313
122	0.2274012635
123	0.2272296486
124	0.2270903724
125	0.2268933671
126	0.2267395915
127	0.2265215397
128	0.2263662304
129	0.226198462
130	0.2260207919
131	0.2259206188
132	0.225856919
133	0.2257017878
134	0.2256360798
135	0.2255401718
136	0.2254227607
137	0.2253658658
138	0.2251608641
139	0.2250595985
140	0.2249566267
141	0.2248484215
142	0.2247915033
143	0.2246860467
144	0.2245452611
145	0.2244304395
146	0.2243108422
147	0.2242532652
148	0.2241639855
149	0.2240761577
150	0.2239416377
151	0.22387021
152	0.2237435466
153	0.223668146
154	0.2235572928
155	0.2233826096
156	0.2232749926
157	0.2231965057
158	0.2231142594
159	0.2228736667
160	0.2228214948
161	0.2227796642
162	0.2226303115
163	0.2225496144
164	0.2224034857
165	0.2222883319
166	0.2222156522
167	0.2221267472
168	0.2220327557
169	0.2219143356
170	0.2218199808
171	0.2217036975
172	0.2216169093
173	0.2214679137
174	0.2213914537
175	0.221340887
176	0.2212186416
177	0.2210791403
178	0.2209962884
179	0.2208767817
180	0.2207311593
181	0.2205712565
182	0.2205179253
183	0.2204052193
184	0.2202969873
185	0.2202176081
186	0.2201078142
187	0.2200134602
188	0.2198719681
189	0.219790659
190	0.2197067281
191	0.2195798077
192	0.2194520631
193	0.2193927175
194	0.2193038575
195	0.2192296985
196	0.2191202859
197	0.2190438217
198	0.2189235581
199	0.2188264611
200	0.218768107
201	0.2186977184
202	0.2186296571
203	0.2185262801
204	0.2184419049
205	0.2183264868
206	0.2182503261
207	0.2181540963
208	0.2180816719
209	0.2179636609
210	0.2178865058
211	0.2177774885
212	0.2176977468
213	0.2175805092
214	0.2174872025
215	0.2174087831
216	0.2173594942
217	0.2172674423
218	0.217172705
219	0.2171236691
220	0.2170282584
221	0.2169493753
222	0.2168629963
223	0.216761311
224	0.2166847871
225	0.2166108584
226	0.2165479774
